id;revenue_benefit_type;payout_percentage;upper_limit;starting_version;current_version
1;CONTRIBUTION_BASED;18889;7793;43593;59661
2;CONTRIBUTION_BASED;50089;38749;61277;2409
3;FIXED;39306;43425;2237;29381
4;CONTRIBUTION_BASED;7780;29876;10869;99481
5;CONTRIBUTION_BASED;36322;88551;30219;29417
6;CONTRIBUTION_BASED;38420;50483;18365;6073
7;CONTRIBUTION_BASED;1821;24758;29084;98951
8;FIXED;64736;78596;66746;73302
9;CONTRIBUTION_BASED;12180;48987;40293;65815
10;CONTRIBUTION_BASED;75525;68539;97786;57389
