id;unit;employee_id;year;month;date;variable_payout_id;doctor_payout_invoice;consultatnt_type;department_revenue_benefit_id;department_revenue_benefit_amount;los_benefiet_id;service_item_benefit_amount
1;mobile Fish;77969;59865;59685;15601;44583;15599;RENDERING_CONSULTANT;14286;70807;65088;2058
2;Producer;83244;93855;21233;77;18182;99221;RENDERING_CONSULTANT;52475;706;43194;2306
3;Namibia;39986;13949;4666;29214;97375;36636;RENDERING_CONSULTANT;61838;19967;38246;51423
4;Mississippi Refined Rubber Chicken Table;6505;1326;94888;94220;96563;56328;ADMITTING_CONSULTANT;44015;68326;12203;60999
5;backing up Salad;39106;25877;18223;66252;75536;31171;ADMITTING_CONSULTANT;3131;96958;84228;77513
6;Markets Chief;59789;72727;92187;32654;8849;57044;RENDERING_CONSULTANT;32533;84453;38867;74732
7;South Georgia and the South Sandwich Islands;58675;35675;96525;28093;60703;54269;RENDERING_CONSULTANT;16526;7455;1563;98688
8;index orange;552;1407;81546;19884;70685;71134;RENDERING_CONSULTANT;11586;91495;86310;85003
9;Highway Ergonomic;37081;31098;66884;32518;66592;72960;ADMITTING_CONSULTANT;38292;11959;97171;71324
10;synthesize Idaho compress;49379;4043;52273;71066;42754;11089;ADMITTING_CONSULTANT;3142;89576;63641;47537
