id;name;code;active;actual;context;members
1;mobile Fish;Home Loan Account Table Computer;false;false;Indent_Approval_Committee;transmitter Implementation Electronics
2;Soap methodology Albania;Home Namibia;false;false;Indent_Approval_Committee;Common
3;Savings Account syndicate Planner;Refined Rubber Chicken Table;false;false;Indent_Approval_Committee;Public-key
4;infomediaries;Investment Account;true;false;Indent_Approval_Committee;invoice
5;convergence;Mayotte;false;false;Indent_Approval_Committee;capacitor archive
6;sky blue Tasty Plastic Pizza;compress South Georgia and the South Sandwich Islands;true;false;Indent_Approval_Committee;Small
7;deliverables reinvent 24 hour;overriding;true;true;Indent_Approval_Committee;Internal
8;Investment Account archive Fantastic Plastic Chicken;payment;true;true;Indent_Approval_Committee;Frozen bus
9;hard drive Robust Networked;Poland;false;false;Indent_Approval_Committee;Dynamic
10;knowledge base Buckinghamshire;Concrete Investment Account Saint Lucia;false;false;Indent_Approval_Committee;virtual deposit
