id;code;name;package_category;visit_type;duration;duration_unit;number_of_allowed_visit;template;plan_validation;comments;start_date;end_date;active;abbreviation
1;mobile Fish;Home Loan Account Table Computer;SURGICAL;IP;96990;DAYS;61748;false;true;Grocery Home;2020-05-11;2020-05-11;false;Gorgeous Frozen Pants
2;Common;Savings Account syndicate Planner;SURGICAL;ER;56328;DAYS;44015;true;false;Buckinghamshire Games;2020-05-11;2020-05-11;false;invoice
3;convergence;Mayotte;SURGICAL;DC;92187;DAYS;52083;false;true;navigating;2020-05-11;2020-05-12;true;Louisiana Specialist Home Loan Account
4;Plastic;Car Industrial deliverables;SURGICAL;DC;79017;DAYS;86310;true;true;archive Fantastic Plastic Chicken;2020-05-12;2020-05-11;true;withdrawal COM
5;embrace Developer;synthesize Idaho compress;SURGICAL;ER;63641;DAYS;13933;false;true;Saint Lucia white;2020-05-11;2020-05-12;true;Chilean Peso Unidades de fomento
6;Web virtual deposit;Squares mint green e-business;SURGICAL;ER;35256;DAYS;22210;true;false;24/7;2020-05-11;2020-05-12;false;Mauritania
7;facilitate Tasty Concrete Chips Exclusive;Buckinghamshire capability zero tolerance;SURGICAL;OP;90826;DAYS;44778;true;true;Credit Card Account;2020-05-12;2020-05-11;false;Re-contextualized
8;web-enabled invoice withdrawal;bypassing optical;SURGICAL;DC;80950;DAYS;17436;true;true;synthesize Creative;2020-05-12;2020-05-11;false;Concrete Global SMS
9;Profound;parsing;SURGICAL;DC;90041;DAYS;84666;true;true;drive THX bypassing;2020-05-11;2020-05-12;true;New Zealand Dollar Alabama transform
10;invoice Home Gloves;Buckinghamshire Ports;SURGICAL;DC;74417;DAYS;36771;true;false;Persevering;2020-05-11;2020-05-11;false;Human withdrawal
