id;document_number;unit_code;type;employee_id;department_id;net_amount;created_date_time;status
1;deposit;Senior;EMPLOYEE;34921;30019;32859;2020-04-23T07:28:54;Mandatory HTTP plum
2;Mount Savings Account;holistic Cotton;EMPLOYEE;93115;67924;82245;2020-04-23T01:58:39;United Arab Emirates bypassing FTP
3;RAM Checking Account Frozen;Progressive Pitcairn Islands;DEPARTMENT;92436;96793;25770;2020-04-23T09:21:10;Outdoors
4;tertiary;backing up;EMPLOYEE;47791;96201;71843;2020-04-23T10:24:58;gold Organized
5;Eritrea;Coordinator Money Market Account gold;EMPLOYEE;71790;20610;36186;2020-04-23T10:34:47;clicks-and-mortar Savings Account Gloves
6;Dynamic deploy;Dynamic Electronics Principal;DEPARTMENT;51406;6014;74959;2020-04-23T13:04:03;Liechtenstein
7;cyan Manager;withdrawal interface;DEPARTMENT;89204;72115;43583;2020-04-23T02:10:53;transmit
8;Versatile Officer;Managed Maine;EMPLOYEE;58688;76769;70625;2020-04-23T13:08:05;Trace
9;cyan Sleek Team-oriented;background deposit;DEPARTMENT;82970;669;87869;2020-04-22T17:38:42;exuding Cuban Peso Peso Convertible Checking Account
10;Kenyan Shilling algorithm Views;withdrawal Soft;DEPARTMENT;76545;51395;27680;2020-04-23T02:58:02;orchestrate Isle quantifying
