id;description;year;month;sign;amount;contra_employee_id
1;Iceland Marketing;time-frame vortals;leading-edge Table Barbados Dollar;Garden Arizona;95740;91039
2;blue Home Loan Account;navigating matrices;cyan;systemic;38900;51836
3;Prairie;orchid;navigating Bedfordshire;applications out-of-the-box;21585;19739
4;Cliff Visionary;orchestration HDD;Tools payment upward-trending;Concrete;15073;80396
5;programming quantifying;Implementation e-markets;holistic haptic;COM;8509;55270
6;invoice Practical Frozen Sausages;metrics feed;deposit Shirt revolutionize;Shoes SMS;4504;97578
7;Georgia ubiquitous;Dong;Chicken;Wooden Auto Loan Account generating;70956;88708
8;Grocery Rhode Island;Baby Yuan Renminbi;South Dakota parse;Manors Optimized;43330;54290
9;Forge functionalities;SCSI Michigan Supervisor;Chief Persevering Djibouti;Legacy;84189;20051
10;payment;Data;Svalbard & Jan Mayen Islands Corporate Health;GB capacity;1524;5590
