id;stay_benefit_id;service_id;service_code;service_name
1;43210;31248;withdrawal;compress interfaces
2;20846;74281;ROI;functionalities Som
3;44979;18611;Ball Cotton port;Metrics Web
4;84203;17577;web-readiness explicit;Dobra Kids clicks-and-mortar
5;34562;16345;Graphical User Interface alarm;cultivate Tanzania alarm
6;74963;9198;Small Rubber Computer;models Mexico iterate
7;85580;34100;Refined Fresh Computer Human;ADP Fantastic Awesome Plastic Chair
8;37433;31019;Analyst Checking Account Lakes;Mobility Sleek Berkshire
9;92360;2923;infomediaries;Equatorial Guinea
10;54636;14148;Consultant Bedfordshire process improvement;Rustic
