id;unit_code;employee_id;version;created_by;created_date;change_request_status;starting_version;current_version;remarks;commencement_date;contract_end_date;min_assured_amount;max_payout_amount;min_assured_validity_date;status;upload_contract
1;Face to face;20518;7119;navigate withdrawal Total;2020-04-20;APPROVED;3176;70366;ROI calculating;2020-04-20;2020-04-20;22392;61316;2020-04-20;false;Fantastic Granite Shirt Chicken
2;Enterprise-wide THX;57155;26704;Officer calculating;2020-04-20;REJECTED;30429;46227;tangible Lead;2020-04-20;2020-04-21;89716;81810;2020-04-21;false;auxiliary Oregon
3;Associate best-of-breed Botswana;26519;29247;Freeway;2020-04-21;DRAFT;69095;52459;Cotton withdrawal real-time;2020-04-21;2020-04-21;50386;69041;2020-04-21;true;Fresh strategic
4;SMTP;30780;54553;Buckinghamshire web services Assurance;2020-04-20;PENDING_APPROVAL;25493;74996;Licensed violet;2020-04-20;2020-04-21;78420;31981;2020-04-21;true;Right-sized
5;Division collaboration;36645;54259;Netherlands;2020-04-21;APPROVED;41240;35747;invoice Architect;2020-04-20;2020-04-21;85179;65931;2020-04-21;false;Table
6;card feed Assurance;26117;65620;Buckinghamshire Wooden;2020-04-20;REJECTED;47763;20719;optimal connecting COM;2020-04-20;2020-04-21;38759;87728;2020-04-20;false;1080p
7;JBOD;81117;25140;Dynamic parse compressing;2020-04-21;REJECTED;61120;49752;PCI Integrated matrix;2020-04-20;2020-04-20;32431;64763;2020-04-20;true;Idaho
8;EXE;56492;97694;copy Sleek Granite Car;2020-04-21;APPROVED;6178;77135;Sleek;2020-04-20;2020-04-20;11856;42147;2020-04-20;true;Licensed Checking Account
9;North Carolina;12601;77359;Montana Adaptive;2020-04-21;DRAFT;30755;53828;Illinois Borders;2020-04-21;2020-04-21;5163;58207;2020-04-20;false;Usability empowering Fantastic
10;copy navigating;64047;37104;Ball even-keeled;2020-04-21;APPROVED;79955;47336;Cambridgeshire;2020-04-21;2020-04-20;24340;48517;2020-04-21;false;bypass
